iso_code,name,type,name_with_type,csse_province_state,federal_district,timezone,geoname_code,geoname_id,geoname_name,population,population_urban,population_rural
RU-ALT,Алтайский,край,Алтайский край,Altayskiy kray,Сибирский,UTC+7,RU.04,1511732,Altai Krai,2317052,1320066,996986
RU-AMU,Амурская,обл,Амурская обл,Amursk oblast,Дальневосточный,UTC+9,RU.05,2027748,Amur Oblast,790676,535760,254916
RU-ARK,Архангельская,обл,Архангельская обл,Arkhangelsk oblast,Северо-Западный,UTC+3,RU.06,581043,Arkhangelskaya,1136387,893305,243082
RU-AST,Астраханская,обл,Астраханская обл,Astrahan oblast,Южный,UTC+4,RU.07,580491,Astrakhan,1005967,671311,334656
RU-BEL,Белгородская,обл,Белгородская обл,Belgorod oblast,Центральный,UTC+3,RU.09,578071,Belgorod Oblast,1547532,1044622,502910
RU-BRY,Брянская,обл,Брянская обл,Briansk oblast,Центральный,UTC+3,RU.10,571473,Bryansk Oblast,1192570,839959,352611
RU-VLA,Владимирская,обл,Владимирская обл,Vladimir oblast,Центральный,UTC+3,RU.83,826294,Vladimir,1358538,1063144,295394
RU-VGG,Волгоградская,обл,Волгоградская обл,Volgograd oblast,Южный,UTC+4,RU.84,472755,Volgograd Oblast,2491751,1925884,565867
RU-VLG,Вологодская,обл,Вологодская обл,Vologda oblast,Северо-Западный,UTC+3,RU.85,472454,Vologda,1160721,843528,317193
RU-VOR,Воронежская,обл,Воронежская обл,Voronezh oblast,Центральный,UTC+3,RU.86,472039,Voronezj,2323657,1578552,745105
RU-MOW,Москва,г,г Москва,Moscow,Центральный,UTC+3,RU.48,524894,Moscow,12692466,12479250,213216
RU-SPE,Санкт-Петербург,г,г Санкт-Петербург,Saint Petersburg,Северо-Западный,UTC+3,RU.66,536203,St.-Petersburg,5392992,5392992,0
UA-40,Севастополь,г,г Севастополь,Sevastopol,Южный,UTC+3,UA.20,694422,Sevastopol City,448829,418486,30343
RU-YEV,Еврейская,Аобл,Еврейская Аобл,Jewish Autonomous oblast,Дальневосточный,UTC+10,RU.89,2026639,Jewish Autonomous Oblast,158381,108743,49638
RU-ZAB,Забайкальский,край,Забайкальский край,Zabaykalskiy kray,Дальневосточный,UTC+9,RU.93,7779061,Transbaikal Territory,1059657,722656,337001
RU-IVA,Ивановская,обл,Ивановская обл,Ivanovo oblast,Центральный,UTC+3,RU.21,555235,Ivanovo,997196,814762,182434
RU-IRK,Иркутская,обл,Иркутская обл,Irkutsk oblast,Сибирский,UTC+8,RU.20,2023468,Irkutsk Oblast,2390827,1866866,523961
RU-KGD,Калининградская,обл,Калининградская обл,Kaliningrad oblast,Северо-Западный,UTC+2,RU.23,554230,Kaliningrad,1012253,786074,226179
RU-KLU,Калужская,обл,Калужская обл,Kaluga oblast,Центральный,UTC+3,RU.25,553899,Kaluga,1000070,758622,241448
RU-KAM,Камчатский,край,Камчатский край,Kamchatskiy kray,Дальневосточный,UTC+12,RU.92,2125072,Kamchatka,312438,245128,67310
RU-KEM,Кемеровская область - Кузбасс,обл,Кемеровская область - Кузбасс,Kemerovo oblast,Сибирский,UTC+7,RU.29,1503900,Kemerovo Oblast,2657758,2287209,370549
RU-KIR,Кировская,обл,Кировская обл,Kirov oblast,Приволжский,UTC+3,RU.33,548389,Kirov,1262549,982009,280540
RU-KOS,Костромская,обл,Костромская обл,Kostroma oblast,Центральный,UTC+3,RU.37,543871,Kostroma Oblast,633392,460492,172900
RU-KDA,Краснодарский,край,Краснодарский край,Krasnodarskiy kray,Южный,UTC+3,RU.38,542415,Krasnodarskiy,5677786,3142394,2535392
RU-KYA,Красноярский,край,Красноярский край,Krasnoyarskiy kray,Сибирский,UTC+7,RU.91,1502020,Krasnoyarskiy,2867875,2223281,644594
RU-KGN,Курганская,обл,Курганская обл,Kurgan oblast,Уральский,UTC+5,RU.40,1501312,Kurgan Oblast,826941,514369,312572
RU-KRS,Курская,обл,Курская обл,Kursk oblast,Центральный,UTC+3,RU.41,538555,Kursk,1103059,755463,347596
RU-LEN,Ленинградская,обл,Ленинградская обл,Leningradskaya oblast,Северо-Западный,UTC+3,RU.42,536199,Leningradskaya Oblast,1876392,1259045,617347
RU-LIP,Липецкая,обл,Липецкая обл,Lipetsk oblast,Центральный,UTC+3,RU.43,535120,Lipetsk Oblast,1139492,736624,402868
RU-MAG,Магаданская,обл,Магаданская обл,Magadan oblast,Дальневосточный,UTC+11,RU.44,2123627,Magadan Oblast,140199,134720,5479
RU-MOS,Московская,обл,Московская обл,Moscow oblast,Центральный,UTC+3,RU.47,524925,Moscow Oblast,7687647,6255436,1432211
RU-MUR,Мурманская,обл,Мурманская обл,Murmansk oblast,Северо-Западный,UTC+3,RU.49,524304,Murmansk,741511,683463,58048
RU-NEN,Ненецкий,АО,Ненецкий АО,,Северо-Западный,UTC+3,RU.50,522652,Nenets,44110,32542,11568
RU-NIZ,Нижегородская,обл,Нижегородская обл,Nizhegorodskaya oblast,Приволжский,UTC+3,RU.51,559838,Nizhny Novgorod Oblast,3203818,2553182,650636
RU-NGR,Новгородская,обл,Новгородская обл,Novgorod oblast,Северо-Западный,UTC+3,RU.52,519324,Novgorod Oblast,596173,426224,169949
RU-NVS,Новосибирская,обл,Новосибирская обл,Novosibirsk oblast,Сибирский,UTC+7,RU.53,1496745,Novosibirsk Oblast,2798251,2216509,581742
RU-OMS,Омская,обл,Омская обл,Omsk oblast,Сибирский,UTC+6,RU.54,1496152,Omsk,1926562,1405124,521438
RU-ORE,Оренбургская,обл,Оренбургская обл,Orenburg oblast,Приволжский,UTC+5,RU.55,515001,Orenburg Oblast,1956256,1186257,769999
RU-ORL,Орловская,обл,Орловская обл,Orel oblast,Центральный,UTC+3,RU.56,514801,Orel Oblast,733682,490115,243567
RU-PNZ,Пензенская,обл,Пензенская обл,Pensa oblast,Приволжский,UTC+3,RU.57,511555,Penza,1304825,899237,405588
RU-PER,Пермский,край,Пермский край,Perm oblast,Приволжский,UTC+5,RU.90,511180,Perm,2599301,1973085,626216
RU-PRI,Приморский,край,Приморский край,Primorskiy kray,Дальневосточный,UTC+10,RU.59,2017623,Primorskiy (Maritime) Kray,1895305,1468917,426388
RU-PSK,Псковская,обл,Псковская обл,Pskov oblast,Северо-Западный,UTC+3,RU.60,504338,Pskov Oblast,626046,445301,180745
RU-AD,Адыгея,Респ,Респ Адыгея,Republic of Adygeia,Южный,UTC+3,RU.01,584222,Adygeya Republic,463453,219137,244316
RU-AL,Алтай,Респ,Респ Алтай,Republic of Altay,Сибирский,UTC+7,RU.03,1506272,Altai,220140,64478,155662
RU-BA,Башкортостан,Респ,Респ Башкортостан,Republic of Bashkortostan,Приволжский,UTC+5,RU.08,578853,Bashkortostan Republic,4037811,2520970,1516841
RU-BU,Бурятия,Респ,Респ Бурятия,Republic of Buriatia,Дальневосточный,UTC+8,RU.11,2050915,Buryatiya Republic,986109,584178,401931
RU-DA,Дагестан,Респ,Респ Дагестан,Republic of Dagestan,Северо-Кавказский,UTC+3,RU.17,567293,Dagestan,3111353,1409380,1701973
RU-IN,Ингушетия,Респ,Респ Ингушетия,Ingushetia republic,Северо-Кавказский,UTC+3,RU.19,556349,Ingushetiya Republic,506688,281966,224722
RU-KB,Кабардино-Балкарская,Респ,Респ Кабардино-Балкарская,Republic of Kabardino-Balkaria,Северо-Кавказский,UTC+3,RU.22,554667,Kabardino-Balkariya Republic,868174,451834,416340
